Date,Hour,Temperature
21/01/2022,17,35.2
21/01/2022,18,33.2
21/01/2022,19,29.1
21/01/2022,20,25.8
21/01/2022,21,27.4
21/01/2022,22,26.9
21/01/2022,23,26.4
22/01/2022,0,26.4
22/01/2022,1,26
22/01/2022,2,25.7
22/01/2022,3,25.3
22/01/2022,4,25.5
22/01/2022,5,25.2
22/01/2022,6,24.6
22/01/2022,7,23.7
22/01/2022,8,23.4
22/01/2022,9,23.2
22/01/2022,10,24
22/01/2022,11,25.3
22/01/2022,12,27.1
22/01/2022,13,29.5
22/01/2022,14,31.7
22/01/2022,15,33.9
22/01/2022,16,34.3
22/01/2022,17,34.8
22/01/2022,18,36.3
22/01/2022,19,36.6
22/01/2022,20,34.8
22/01/2022,21,34.7
22/01/2022,22,33.1
22/01/2022,23,31.5
23/01/2022,0,28.8
23/01/2022,1,28.8
23/01/2022,2,28.4
23/01/2022,3,28.2
23/01/2022,4,27
23/01/2022,5,26.7
23/01/2022,6,26.4
23/01/2022,7,25.5
23/01/2022,8,25.4
23/01/2022,9,25
23/01/2022,10,25.9
23/01/2022,11,27.7
23/01/2022,12,27.1
23/01/2022,13,28.4
23/01/2022,14,29
23/01/2022,15,29.3
23/01/2022,16,32.4
23/01/2022,17,35.7
23/01/2022,18,35.6
23/01/2022,19,30.8
23/01/2022,20,26.8
23/01/2022,21,26.6
23/01/2022,22,25
23/01/2022,23,24.1
24/01/2022,0,23
24/01/2022,1,23.3
24/01/2022,2,23.4
24/01/2022,3,23.4
24/01/2022,4,22.9
24/01/2022,5,23.1
24/01/2022,6,23.2
24/01/2022,7,23.6
24/01/2022,8,22.9
24/01/2022,9,22.9
24/01/2022,10,25.7
24/01/2022,11,26.1
24/01/2022,12,29
24/01/2022,13,30.3
24/01/2022,14,32.1
24/01/2022,15,34.2
24/01/2022,16,35.8
24/01/2022,17,36.1
24/01/2022,18,33.9
24/01/2022,19,33.5
24/01/2022,20,32.9
24/01/2022,21,26.7
24/01/2022,22,26.3
24/01/2022,23,26.5
25/01/2022,0,26.4
25/01/2022,1,26.5
25/01/2022,2,23.3
25/01/2022,3,24.3
25/01/2022,4,24.7
25/01/2022,5,23.4
25/01/2022,6,22.8
25/01/2022,7,23.1
25/01/2022,8,22.9
25/01/2022,9,22.6
25/01/2022,10,23.1
25/01/2022,11,24.9
25/01/2022,12,26.2
25/01/2022,13,28.9
25/01/2022,14,31.2
25/01/2022,15,32.8
25/01/2022,16,35.7
25/01/2022,17,35.9
25/01/2022,18,20.8
25/01/2022,19,22.2
25/01/2022,20,24.8
25/01/2022,21,24.3
25/01/2022,22,24.7
25/01/2022,23,27.3
26/01/2022,0,26.2
26/01/2022,1,25.9
26/01/2022,2,25.1
26/01/2022,3,23.2
26/01/2022,4,23.8
26/01/2022,5,25.1
26/01/2022,6,24.4
26/01/2022,7,23.8
26/01/2022,8,23.5
26/01/2022,9,23.1
26/01/2022,10,23.1
26/01/2022,11,24
26/01/2022,12,25.4
26/01/2022,13,27.2
26/01/2022,14,29.6
26/01/2022,15,32.1
26/01/2022,16,33.5
26/01/2022,17,34.1
26/01/2022,18,31.8
26/01/2022,19,28.5
26/01/2022,20,25.4
26/01/2022,21,26.2
26/01/2022,22,24.8
26/01/2022,23,22
27/01/2022,0,21.7
27/01/2022,1,22.2
27/01/2022,2,22
27/01/2022,3,21.8
27/01/2022,4,21.4
27/01/2022,5,21
27/01/2022,6,20.9
27/01/2022,7,21.2
27/01/2022,8,21.2
27/01/2022,9,21.3
27/01/2022,10,21.7
27/01/2022,11,20.7
27/01/2022,12,20.2
27/01/2022,13,18.9
27/01/2022,14,19
27/01/2022,15,19.6
27/01/2022,16,18.8
27/01/2022,17,18.7
27/01/2022,18,18.8
27/01/2022,19,19.1
27/01/2022,20,18.4
27/01/2022,21,18
27/01/2022,22,17.7
27/01/2022,23,17.4
28/01/2022,0,17.2
28/01/2022,1,17
28/01/2022,2,16.8
28/01/2022,3,16.1
28/01/2022,4,15.5
28/01/2022,5,15.4
28/01/2022,6,15
28/01/2022,7,15
28/01/2022,8,15.1
28/01/2022,9,15.3
28/01/2022,10,16.2
28/01/2022,11,17.6
28/01/2022,12,18.2
28/01/2022,13,19.5
28/01/2022,14,20.7
28/01/2022,15,22.1
28/01/2022,16,22.2
28/01/2022,17,22.4
28/01/2022,18,22.3
28/01/2022,19,23
28/01/2022,20,22.4
28/01/2022,21,21.2
28/01/2022,22,19.1
28/01/2022,23,18
29/01/2022,0,17.3
29/01/2022,1,17.1
29/01/2022,2,16.4
29/01/2022,3,15.9
29/01/2022,4,15.7
29/01/2022,5,15.7
29/01/2022,6,15.3
29/01/2022,7,14.9
29/01/2022,8,14.8
29/01/2022,9,15.1
29/01/2022,10,16.2
29/01/2022,11,17.2
29/01/2022,12,19.2
29/01/2022,13,20.4
29/01/2022,14,20.5
29/01/2022,15,21.7
29/01/2022,16,22
29/01/2022,17,21.7
29/01/2022,18,22.7
29/01/2022,19,22.1
29/01/2022,20,21.6
29/01/2022,21,20.2
29/01/2022,22,20
29/01/2022,23,19.5
30/01/2022,0,18.7
30/01/2022,1,18.5
30/01/2022,2,18.2
30/01/2022,3,17.9
30/01/2022,4,17.8
30/01/2022,5,17.8
30/01/2022,6,17.5
30/01/2022,7,17
30/01/2022,8,16.8
30/01/2022,9,17
30/01/2022,10,17.5
30/01/2022,11,18.1
30/01/2022,12,19.3
30/01/2022,13,21.7
30/01/2022,14,22.4
30/01/2022,15,23.5
30/01/2022,16,23.1
30/01/2022,17,23.5
30/01/2022,18,25.2
30/01/2022,19,25.3
30/01/2022,20,24.8
30/01/2022,21,24.9
30/01/2022,22,24.2
30/01/2022,23,22
31/01/2022,0,20.2
31/01/2022,1,19.6
31/01/2022,2,19.1
31/01/2022,3,18.5
31/01/2022,4,18.4
31/01/2022,5,18.4
31/01/2022,6,18.6
31/01/2022,7,18.6
31/01/2022,8,18.6
31/01/2022,9,18.5
31/01/2022,10,19.2
31/01/2022,11,20.6
31/01/2022,12,22.2
31/01/2022,13,24.6
31/01/2022,14,26.5
31/01/2022,15,28.6
31/01/2022,16,29.9
31/01/2022,17,29.6
31/01/2022,18,29.5
31/01/2022,19,27.5
31/01/2022,20,27
31/01/2022,21,26.5
31/01/2022,22,24.8
31/01/2022,23,23
1/2/22,0,22.5
1/2/22,1,22.1
1/2/22,2,21.7
1/2/22,3,20.8
1/2/22,4,19.9
1/2/22,5,19.2
1/2/22,6,18.8
1/2/22,7,18.1
1/2/22,8,18
1/2/22,9,17.9
1/2/22,10,18.9
1/2/22,11,20.4
1/2/22,12,22.9
1/2/22,13,25.9
1/2/22,14,26.4
1/2/22,15,28.3
1/2/22,16,28.9
1/2/22,17,29.3
1/2/22,18,29.8
1/2/22,19,29.5
1/2/22,20,29.5
1/2/22,21,27.6
1/2/22,22,25.1
1/2/22,23,23.3
2/2/22,0,22.6
2/2/22,1,22.2
2/2/22,2,22
2/2/22,3,21.2
2/2/22,4,20.3
2/2/22,5,19.8
2/2/22,6,19.5
2/2/22,7,19.4
2/2/22,8,19
2/2/22,9,18.7
2/2/22,10,19.8
2/2/22,11,21.4
2/2/22,12,23.2
2/2/22,13,25.4
2/2/22,14,27.4
2/2/22,15,30.2
2/2/22,16,30.6
2/2/22,17,31.7
2/2/22,18,31.5
2/2/22,19,31.9
2/2/22,20,30.1
2/2/22,21,29.2
2/2/22,22,27.6
2/2/22,23,26.1
3/2/22,0,25.1
3/2/22,1,24.6
3/2/22,2,23.8
3/2/22,3,23.1
3/2/22,4,22.6
